campaign_id,contract_date,start_date,end_date,ad_format,budget,cpm,currency,imp_delivered,Daily_FX,Budget_USD,CPM_USD,Sales_USD
bb1c356d-4731-4714-9e89-12e5987cb495,4/24/2023,12/27/2023,12/27/2023,carousel,"7,000",2.16,USD,0,1.1041,"$7,000.00",$2.16,$0.00
e617943a-adcd-45ca-9300-3905e01f5969,7/21/2022,1/18/2023,3/6/2023,image,"11,000",1.36,USD,0,1.0228,"$11,000.00",$1.36,$0.00
7f8a0681-fd29-459b-b927-a8bb9aa87ea3,5/13/2023,5/13/2023,2/15/2024,video,"12,000",0.81,USD,"10,097,069",1.0848,"$12,000.00",$0.81,"$8,178.63"
8a30793c-1ed9-4d57-be50-76021ebad41c,2/18/2023,8/10/2023,8/10/2023,story,"9,000",0.34,USD,0,1.0694,"$9,000.00",$0.34,$0.00
77051b06-b618-41c8-8db0-cafef4ee0fc0,11/28/2022,12/1/2022,2/4/2023,video,"10,000",0.82,EUR,0,1.0337,"$10,337.00",$0.85,$0.00
bd3a462b-268f-4569-92f9-ad407165e86b,5/29/2023,12/15/2023,12/15/2023,image,"11,000",0.75,EUR,0,1.0705,"$11,775.50",$0.80,$0.00
65fb4bf0-80d5-4e61-bfb0-002cd6c6d454,2/21/2023,6/7/2023,6/7/2023,story,"4,000",2.91,USD,"1,249,497",1.0646,"$4,000.00",$2.91,"$3,636.04"
14fa1ac2-5597-474e-ae75-2f6d78c3c776,1/8/2023,10/10/2023,10/10/2023,story,"9,000",2,EUR,0,1.0644,"$9,579.60",$2.13,$0.00
454abce5-358c-4aee-ae04-db2c35469eb4,11/2/2022,6/26/2023,2/6/2024,story,"6,000",1.24,USD,0,0.9817,"$6,000.00",$1.24,$0.00
974f8981-3821-49e6-afec-19efa652b138,3/6/2023,3/6/2023,3/6/2023,video,"12,000",2.59,EUR,0,1.0678,"$12,813.60",$2.77,$0.00
86212bd2-0ecd-46da-a385-3ef51856545d,4/18/2023,4/18/2023,9/30/2023,video,"13,000",0.85,EUR,"7,756,151",1.0971,"$14,262.30",$0.93,"$7,232.88"
b88d0a22-3922-4271-bdee-8b997b6bd04c,5/19/2023,11/3/2023,12/31/2023,video,"17,000",1.22,USD,0,1.0802,"$17,000.00",$1.22,$0.00
b3a59efa-d7f9-4f3d-ad0f-3333ab5ae1c7,8/29/2022,8/29/2022,4/14/2023,carousel,"6,000",0.51,USD,"2,733,638",0.9995,"$6,000.00",$0.51,"$1,394.16"
587e58c5-ef1a-4a06-a946-5832587ca9da,5/22/2023,5/22/2023,5/22/2023,video,"10,000",2.88,USD,"1,429,732",1.0811,"$10,000.00",$2.88,"$4,117.63"
e61ae1cb-fdf7-4d64-ada0-c3c28ecd5f68,6/28/2022,10/26/2023,10/26/2023,image,"9,000",2.19,USD,0,1.0518,"$9,000.00",$2.19,$0.00
6be80514-165f-4fc6-9801-3a65e2bfc63e,6/28/2022,7/3/2022,11/4/2023,carousel,"6,000",0.99,EUR,"3,725,136",1.0518,"$6,310.80",$1.04,"$3,878.92"
260a091e-9940-4f52-9a0e-0ad890f1e28f,4/22/2023,4/22/2023,4/22/2023,carousel,"5,000",0.67,USD,"322,524",1.0987,"$5,000.00",$0.67,$216.09
a79c8f60-6e99-432d-88ab-dc04c7be55b3,7/4/2022,8/1/2022,9/14/2023,image,"9,000",1.89,USD,"1,762,321",1.0421,"$9,000.00",$1.89,"$3,330.79"
128f0de3-3471-47e7-a850-65724c0ce915,5/14/2023,5/14/2023,5/14/2023,story,"10,000",2.91,USD,"3,327,501",1.0848,"$10,000.00",$2.91,"$9,683.03"
d9a369ed-d7ff-4436-ac65-9cc3a02abf44,11/27/2022,1/31/2023,8/9/2023,story,"7,000",1.72,USD,"3,137,845",1.0395,"$7,000.00",$1.72,"$5,397.09"
e31db713-767f-4141-8447-6414e661627e,12/31/2022,12/31/2022,10/11/2023,carousel,"11,000",2.88,EUR,"257,266",1.0702,"$11,772.20",$3.08,$792.94
0a9bdf03-2eca-4d90-ad29-8a96b1a52e28,7/29/2022,9/11/2023,9/12/2023,carousel,"13,000",0.55,USD,0,1.0218,"$13,000.00",$0.55,$0.00
71a66053-d83a-4808-affa-a04d398b2426,3/20/2023,8/17/2023,8/17/2023,image,"9,000",2.84,USD,0,1.0719,"$9,000.00",$2.84,$0.00
3f1734e3-fe8b-4663-a656-e31e8d1b4ef4,7/6/2022,9/23/2023,9/23/2023,image,"11,000",2.82,USD,0,1.0181,"$11,000.00",$2.82,$0.00
